,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,IGH,Unkn-01,A,,14.0166057259098,14.0438260171211,0.0384953050027898,NaN,NaN,NaN,NaN,72,
,A02,SYBR,IGH,Unkn-01,A,,14.0710463083324,14.0438260171211,0.0384953050027898,NaN,NaN,NaN,NaN,72,
,A04,SYBR,BCR,Unkn-09,A,,10.5569236432293,10.5642372742317,0.0103430361538185,NaN,NaN,NaN,NaN,72,
,A05,SYBR,BCR,Unkn-09,A,,10.5715509052341,10.5642372742317,0.0103430361538185,NaN,NaN,NaN,NaN,72,
,A07,SYBR,TCR,Unkn-17,A,,11.6084920166118,11.5770323485169,0.044490689287554,NaN,NaN,NaN,NaN,72,
,A08,SYBR,TCR,Unkn-17,A,,11.545572680422,11.5770323485169,0.044490689287554,NaN,NaN,NaN,NaN,72,
,B01,SYBR,IGH,Unkn-02,B,,13.6226624550922,13.5167526991227,0.149779013279778,NaN,NaN,NaN,NaN,72,
,B02,SYBR,IGH,Unkn-02,B,,13.4108429431531,13.5167526991227,0.149779013279778,NaN,NaN,NaN,NaN,72,
,B04,SYBR,BCR,Unkn-10,B,,10.2411959109555,10.2115025219656,0.0419927934222709,NaN,NaN,NaN,NaN,72,
,B05,SYBR,BCR,Unkn-10,B,,10.1818091329758,10.2115025219656,0.0419927934222709,NaN,NaN,NaN,NaN,72,
,B07,SYBR,TCR,Unkn-18,B,,10.6732768357771,10.7515231758866,0.110657035388856,NaN,NaN,NaN,NaN,72,
,B08,SYBR,TCR,Unkn-18,B,,10.829769515996,10.7515231758866,0.110657035388856,NaN,NaN,NaN,NaN,72,
,C01,SYBR,IGH,Unkn-03,C,,14.5320914619763,14.4594514554019,0.10272848246841,NaN,NaN,NaN,NaN,72,
,C02,SYBR,IGH,Unkn-03,C,,14.3868114488275,14.4594514554019,0.10272848246841,NaN,NaN,NaN,NaN,72,
,C04,SYBR,BCR,Unkn-11,C,,10.8691890312032,10.830143514205,0.0552186996887344,NaN,NaN,NaN,NaN,72,
,C05,SYBR,BCR,Unkn-11,C,,10.7910979972068,10.830143514205,0.0552186996887344,NaN,NaN,NaN,NaN,72,
,C07,SYBR,TCR,Unkn-19,C,,11.1941994789145,11.2682324302665,0.104698403864547,NaN,NaN,NaN,NaN,72,
,C08,SYBR,TCR,Unkn-19,C,,11.3422653816186,11.2682324302665,0.104698403864547,NaN,NaN,NaN,NaN,72,
,D01,SYBR,IGH,Unkn-04,D,,13.7774164539922,13.5634526352163,0.302590534369987,NaN,NaN,NaN,NaN,72,
,D02,SYBR,IGH,Unkn-04,D,,13.3494888164404,13.5634526352163,0.302590534369987,NaN,NaN,NaN,NaN,72,
,D04,SYBR,BCR,Unkn-12,D,,9.81889525425054,9.68944553275868,0.183069551779211,NaN,NaN,NaN,NaN,72,
