A1: Ladder,B1: Subject1 T1 IGH,C1: Subject1 T1 BCR,D1: Subject1 T1 TCR,E1: Subject1 T2 IGH,F1: Subject1 T2 BCR,G1: Subject1 T2 TCR,H1: Subject1 T3 IGH,A2: Subject1 T3 BCR,B2: Subject1 T3 TCR,C2: Subject1 T4 IGH,D2: Subject1 T4 BCR
1.589386,1.043562,0.2505379,0.5733738,1.186532,1.237012,1.977239,2.193229,1.624341,1.156699,1.380832,3.005212
1.46494,1.014596,0.4707308,0.6275749,1.209639,1.195807,1.89914,2.225733,1.591776,1.063454,1.357821,3.139712
1.454603,1.018087,0.7134247,0.7619748,1.307874,1.188023,1.827328,2.281232,1.590205,0.9704981,1.240298,3.28781
1.388753,0.9244342,0.8373189,0.8930626,1.355072,1.250895,1.764597,2.358468,1.571176,0.8524046,1.183145,3.423422
1.355379,0.8925905,0.902739,0.9285083,1.336789,1.182976,1.895949,2.349256,1.58603,0.7205009,1.165674,3.452393
1.406834,0.9174566,0.884201,0.9327121,1.313584,1.163465,1.853395,2.376543,1.71235,0.7468147,1.081555,3.318871
1.531959,0.9535112,0.7815976,0.856966,1.1727,1.157568,1.774378,2.358774,1.799015,0.9479942,1.13683,3.106053
1.596594,0.8584542,0.7732744,0.8766584,1.188204,1.207717,1.749838,2.331463,1.770018,1.018784,1.170432,2.9464
1.578905,0.7958493,0.6272874,0.8375268,1.082173,1.19451,1.672302,2.231962,1.7794,1.123228,1.387129,2.934898
1.418566,0.6942744,0.488215,0.9048748,1.041746,1.043911,1.55373,2.307803,1.901217,1.131121,1.537444,2.982776
1.295186,0.8296585,0.345942,0.8151259,1.142437,1.078087,1.575145,2.431487,2.021365,1.16791,1.539058,3.018783
1.230688,1.032657,0.3330817,0.8340564,1.103697,1.146694,1.589913,2.527388,1.957603,1.239377,1.47417,2.981533
1.177847,1.161184,0.3537107,0.9020071,1.188379,1.19228,1.551399,2.59864,1.956553,1.270947,1.458159,3.112628
0.9944658,1.158113,0.3401828,0.8754311,1.212415,1.25946,1.594645,2.660561,1.943522,1.175906,1.419447,3.19935
0.9229078,1.245918,0.4113755,0.8158989,1.187758,1.198695,1.756742,2.527795,1.961981,1.060194,1.433804,3.197363
0.8687301,1.170716,0.5409651,0.8153973,1.190449,1.226397,1.695753,2.638063,1.914258,1.084992,1.242722,2.992924
0.8756356,1.064623,0.7492728,0.6548686,1.123532,1.24567,1.642289,2.596381,1.876594,1.209704,1.227246,2.839387
0.7536316,0.9015865,1.022858,0.6075501,1.160124,1.140951,1.536829,2.497255,1.837657,1.148785,1.102347,2.718781
0.703156,0.8151531,1.029854,0.6661844,1.096126,1.041621,1.348713,2.493294,1.807692,1.071512,1.004753,2.53334
0.7186527,0.703361,0.9030447,0.6054597,1.039933,0.7676344,1.162693,2.498381,1.81887,0.9639397,1.05431,2.492337
0.6760588,0.6524229,0.6989274,0.5095801,1.037746,0.7244983,1.021394,2.310689,1.631196,1.037061,0.9261885,2.42664
0.7398596,0.5677495,0.5370359,0.4464054,0.8608122,0.6331282,1.001239,2.14847,1.763177,1.008399,0.8690872,2.311547
0.7776637,0.4185514,0.3509431,0.3694663,0.8740902,0.6308928,0.9454265,1.987257,1.666329,0.9748487,1.024786,2.428289
0.849823,0.3987203,0.1840668,0.3039489,0.82937,0.6919389,1.025136,1.917638,1.655361,0.83425,1.037968,2.356694
0.9608307,0.3822279,0.116672,0.3656206,0.791234,0.7895689,1.172648,1.828876,1.814852,0.77284,1.070913,2.208875
0.9241786,0.2459431,0.1313252,0.4207654,0.8067517,0.8714151,1.307478,1.975663,1.83519,0.7361054,0.9950638,1.999394
0.9519553,0.2604876,0.1388211,0.417294,0.8154221,1.00214,1.350553,2.001071,1.950335,0.606113,1.044137,1.84352
0.8694715,0.3793049,0.294961,0.5164418,0.821362,0.8673687,1.310536,1.997229,1.997402,0.4801493,1.002175,1.669726
0.8152599,0.5754509,0.2772141,0.7273717,0.7528405,0.7921228,1.246339,2.072242,1.94033,0.4937677,1.01157,1.501831
0.7989168,0.6548977,0.1752262,0.7412519,0.7234178,0.684329,1.215153,2.077437,1.668568,0.5319657,1.077065,1.529787
0.684782,0.6086802,0.1569867,0.7835207,0.6789713,0.545588,1.079487,1.945918,1.307696,0.6271129,1.071321,1.454952
0.6522822,0.6447163,0.08884573,0.8256083,0.5498261,0.3768048,0.9716434,1.778688,1.217646,0.5622497,1.149825,1.441245
0.6384511,0.5656142,0.0578351,0.7520685,0.6200557,0.3628573,1.041079,1.546351,0.8395619,0.5058961,1.147147,1.593316
0.6670723,0.5679159,0.1929021,0.676981,0.6117568,0.3913965,1.150886,1.437723,0.7764902,0.5010805,1.040308,1.540963
0.694417,0.482935,0.3312726,0.6145639,0.5649128,0.4216599,1.243022,1.301704,0.8824921,0.5910182,0.8117933,1.394084
0.6429963,0.3425303,0.4650235,0.4419789,0.5147953,0.456841,1.182751,1.224294,0.8912024,0.5786409,0.6833134,1.33014
0.644753,0.3616309,0.4694724,0.3461871,0.5209966,0.6101665,1.174222,1.120052,1.02839,0.4193182,0.5079546,1.161847
0.6051297,0.4018044,0.5052147,0.2137656,0.4493423,0.6363454,1.18009,1.046589,1.073112,0.4497161,0.4780569,1.082906
0.5888824,0.4794302,0.4546781,0.1886687,0.3396702,0.6651063,1.099548,1.011577,1.177071,0.5655866,0.4739265,1.046759
0.5192075,0.5278544,0.4474139,0.1719947,0.3418555,0.6384931,0.9290786,1.085552,1.053952,0.5456033,0.4061007,0.9433284
0.4960012,0.5872869,0.4648318,0.2158761,0.4089384,0.5248532,0.6388011,1.060095,0.8752928,0.4966979,0.382103,0.9479027
0.4157906,0.667614,0.4854894,0.2384009,0.4898367,0.461843,0.461163,0.961844,0.7629437,0.3746934,0.3651505,0.9983025
0.3868599,0.5954461,0.5324478,0.2308617,0.6713586,0.4743657,0.4660063,0.9247384,0.6828346,0.4179406,0.3451772,1.026299
0.4522195,0.5828061,0.5929112,0.3234525,0.6783481,0.4837976,0.4055328,0.9228997,0.7220945,0.388783,0.3398676,1.070448
0.6446948,0.4649153,0.6974382,0.3449645,0.630765,0.4283652,0.3155851,0.9711213,0.6228952,0.4306211,0.2845721,1.027115
0.8421388,0.4036856,0.8173938,0.2517476,0.5474029,0.3872366,0.2779098,1.000473,0.6002016,0.4485922,0.3633137,1.003743
0.9018426,0.361815,0.7378569,0.2670989,0.4491196,0.4371681,0.3161054,0.8520093,0.6989522,0.4198098,0.4789033,0.893559
0.9269199,0.2510076,0.4913001,0.2479138,0.3226414,0.4488664,0.31389,0.7463245,0.7136216,0.5352745,0.6349397,0.9353576
0.8778548,0.1763077,0.3214293,0.2782335,0.1897216,0.4282889,0.3636551,0.6355767,0.8514261,0.5615106,0.5466375,0.9474292
0.7845006,0.07909107,0.3329706,0.4395418,0.1769285,0.3256869,0.3925214,0.684926,0.851553,0.469069,0.4909644,0.9376564
0.6324267,0,0.2376328,0.589983,0.1956687,0.3445048,0.4122605,0.6452341,0.880465,0.3346381,0.5225625,1.06727
0.541554,0.01294041,0.248147,0.6427259,0.3578377,0.3266654,0.5304699,0.7621918,0.8013229,0.296546,0.4245882,1.111302
0.5266213,0.07847071,0.2042737,0.7170949,0.4772305,0.3136005,0.5930972,0.8946686,0.7608333,0.2733159,0.3708544,1.171147
0.4383144,0.1628256,0.1514745,0.7751255,0.3961601,0.1927662,0.6133456,0.9888949,0.7065849,0.1090174,0.3246255,1.255618
0.6381135,0.1019197,0.2762065,0.7118564,0.5512362,0.1524901,0.5324845,1.14793,0.5407863,0.01647615,0.3434238,1.291684
0.8054371,0.194469,0.2155414,0.6325541,0.6008077,0.09686661,0.4920149,1.097149,0.430758,0.03904057,0.4319124,1.260376
0.756484,0.2235389,0.0349822,0.5181003,0.6532102,0.1065416,0.5195894,1.034245,0.3176389,0,0.4082308,1.296133
0.7046971,0.3014684,0.01702881,0.4877582,0.7212853,0.120482,0.5388446,1.101039,0.3277287,0.05846071,0.3502393,1.145509
0.6017108,0.3499308,0.06724024,0.514812,0.5859714,0.160562,0.6282182,1.133921,0.2510548,0.0561738,0.2588382,1.030592
0.5495329,0.4028912,0.1414633,0.5479112,0.4916477,0.2082701,0.489543,1.211168,0.265089,0.1218967,0.2853251,0.9098101
0.4162064,0.4048328,0.1284585,0.6010847,0.4408951,0.3180113,0.5135422,1.252472,0.4320874,0.0898633,0.5054717,0.8049264
0.4009385,0.4677868,0.2526126,0.4950666,0.4738746,0.2979317,0.5474434,1.563971,0.3494382,0.123445,0.4081302,0.7617941
0.3600473,0.4537911,0.1532083,0.400249,0.3977442,0.2794986,0.5162878,1.6227,0.4548216,0.1363163,0.3988838,0.7202005
0.1741033,0.3892751,0.1547604,0.2482252,0.251812,0.2764468,0.5578394,1.485273,0.5136876,0.2131753,0.4701619,0.652957
0.2642946,0.2560229,0.1500001,0.1481347,0.234477,0.3683987,0.5018849,1.405839,0.548985,0.2027726,0.5811491,0.7018027
0.3631759,0.1704979,0.1266832,0.07099819,0.2167969,0.3825274,0.5413604,1.20854,0.5119405,0.2307982,0.5815578,0.8170133
0.3165088,0.1312404,0.09926796,0,0.2451267,0.4122791,0.6161838,1.14409,0.4784584,0.2685242,0.4904671,0.9307675
0.430922,0.1095462,0.2359705,0.09120607,0.211925,0.365664,0.6207824,1.028736,0.4744501,0.3417988,0.4178472,0.7460456
0.4779172,0.1529665,0.2651405,0.1676307,0.1963034,0.2773619,0.5050993,0.8415055,0.2700343,0.4307823,0.2892628,0.7849154
0.5707607,0.3306222,0.2892785,0.2077966,0.2242665,0.2527537,0.2139273,0.688664,0.2556939,0.4702311,0.2383533,0.839891
0.6791224,0.3403659,0.1944942,0.2303138,0.3058481,0.3102598,0.2325835,0.6197591,0.389514,0.3515339,0.3000011,0.9108815
0.7104068,0.4092779,0.2537594,0.1288271,0.4001236,0.2795372,0.2537198,0.7334595,0.3307962,0.2566795,0.1911707,0.9098101
0.6790314,0.3946972,0.1099043,0.1206503,0.5416479,0.2516775,0.2803116,0.6214404,0.3116097,0.2513218,0.3544807,0.9326792
0.5284142,0.4204946,0.05383873,0.03448915,0.5582352,0.3108859,0.3726206,0.5133939,0.3115625,0.2404532,0.3856306,0.8441916
0.514801,0.4588642,0.05501175,0.05374432,0.537004,0.2738838,0.4026051,0.5498419,0.2592821,0.1151314,0.3835974,0.7047539
0.4092751,0.4955602,0.08754873,0.02157545,0.5159574,0.1890192,0.5304275,0.5626669,0.2010517,0.03613043,0.3200336,0.5268154
0.3368945,0.5373764,0.06671095,0.04463959,0.453505,0.1595182,0.4480438,0.5685644,0.2533026,0.051929,0.3048697,0.4158435
0.4726901,0.5074277,0.2020173,0.07068014,0.3992043,0.002493382,0.4078751,0.441555,0.2616148,0.08849716,0.2438803,0.2682114
0.4688139,0.4255352,0.1475182,0.1247497,0.2963719,0,0.3070459,0.3991985,0.3180218,0.1315575,0.1699233,0.2514353
0.5479121,0.4100146,0.1655512,0.0388484,0.1281958,0.05188513,0.1491895,0.358182,0.3520079,0.06993055,0.2179956,0.2103209
0.6767721,0.2784686,0.08743668,0.03201342,0.09462929,0.08669233,0.1362343,0.3887467,0.4126883,0.08790731,0.3113065,0.260067
0.6594944,0.1982708,0.1771803,0.1562352,0,0.17664,0.2589025,0.4069691,0.2472882,0.08234739,0.3626466,0.3069625
0.6673551,0.1475568,0.2260547,0.3328724,0.05423975,0.2575531,0.2482309,0.4022436,0.09193325,0.109488,0.5242734,0.4610276
0.5537486,0.117332,0.1075974,0.437346,0.07036591,0.267158,0.2059937,0.3656607,0.02365685,0.1554127,0.3928328,0.3699341
0.5765867,0.2281351,0.05984402,0.4676018,0.04610062,0.1853604,0.228056,0.3525133,0,0.06657887,0.3199644,0.3417311
