,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,ladder,Std-01,100,9.89291693980018,100
,A02,SYBR,ladder,Std-01,100,9.58586467354413,100
,A04,SYBR,IGH,Unkn-01,A,14.2084453477184,4.33094200238841
,A05,SYBR,IGH,Unkn-01,A,14.1340339492678,4.55652330335198
,A06,SYBR,IGH,Unkn-01,A,14.4471397602666,3.67999451889748
,A07,SYBR,BCR,Unkn-09,A,13.0975601714644,9.2423918988931
,A08,SYBR,BCR,Unkn-09,A,13.4180581638715,7.42689598241741
,A09,SYBR,BCR,Unkn-09,A,13.1070388228723,9.18280699757542
,A10,SYBR,TCR,Unkn-17,A,13.9338423221764,5.22346629505756
,A11,SYBR,TCR,Unkn-17,A,13.5777653563277,6.66007901352545
,A12,SYBR,TCR,Unkn-17,A,13.9372373645051,5.21137953118222
,B01,SYBR,ladder,Std-02,10,13.0577656269302,10
,B02,SYBR,ladder,Std-02,10,12.6896333922159,10
,B04,SYBR,IGH,Unkn-02,B,13.1630696315084,8.83834949193526
,B05,SYBR,IGH,Unkn-02,B,12.7300923966344,11.8762830700054
,B06,SYBR,IGH,Unkn-02,B,13.0877704785184,9.30433797533091
,B07,SYBR,BCR,Unkn-10,B,12.3476471191656,15.4175428906126
,B08,SYBR,BCR,Unkn-10,B,12.686958817541,12.2310244544367
,B09,SYBR,BCR,Unkn-10,B,12.4426375443416,14.4499221109381
,B10,SYBR,TCR,Unkn-18,B,12.3865416795651,15.013746224672
,B11,SYBR,TCR,Unkn-18,B,12.2509371492085,16.4692718347119
,B12,SYBR,TCR,Unkn-18,B,12.678037738889,12.305705728163
,C01,SYBR,ladder,Std-03,1,16.2043590264057,1
,C02,SYBR,ladder,Std-03,1,16.1517867732041,1
,C04,SYBR,IGH,Unkn-03,C,13.1330186464104,9.02145405854704
,C05,SYBR,IGH,Unkn-03,C,13.188260021669,8.68772766093722
,C06,SYBR,IGH,Unkn-03,C,12.8916542097631,10.6366036968432
